Layer Configs,Learning Rate,Batch Size,RMSE,NRMSE
"(64, 32)",0.001,32,151.63575549239698,0.14171565933868877
"(64, 32)",0.001,64,186.66435661703068,0.1744526697355427
"(64, 32)",0.01,32,140.15803719596317,0.13098881980931137
"(64, 32)",0.01,64,100.45167525979844,0.09388007033626022
"(128, 64)",0.001,32,133.31934171379635,0.12459751562037041
"(128, 64)",0.001,64,180.0687802618766,0.16828857968399683
"(128, 64)",0.01,32,154.2863295446975,0.1441928313501846
"(128, 64)",0.01,64,156.1399487439073,0.14592518574196944
"(64, 64, 32)",0.001,32,129.98873899544145,0.12148480279947799
"(64, 64, 32)",0.001,64,111.55266500766578,0.10425482710996802
"(64, 64, 32)",0.01,32,157.4270850564635,0.14712811687519955
"(64, 64, 32)",0.01,64,190.5769304145966,0.17810928076130525
